C:\Users\NCEPU\Documents\Visual Studio 2015\Projects\ImportData\ImportData\¹øÂ¯Ğ§ÂÊ01.csv
file	line	process	state
1/1	931	2.1%	faild
1/1	932	2.1%	faild
1/1	933	2.1%	faild
1/1	934	2.1%	faild
1/1	935	2.1%	faild
1/1	936	2.1%	faild
1/1	937	2.1%	faild
1/1	938	2.1%	faild
1/1	939	2.1%	faild
1/1	940	2.1%	faild
1/1	941	2.1%	faild
1/1	942	2.1%	faild
1/1	943	2.1%	faild
1/1	944	2.1%	faild
1/1	945	2.1%	faild
1/1	946	2.1%	faild
1/1	947	2.1%	faild
1/1	948	2.1%	faild
1/1	949	2.1%	faild
1/1	950	2.1%	faild
1/1	951	2.1%	faild
1/1	952	2.1%	faild
1/1	953	2.1%	faild
1/1	954	2.1%	faild
1/1	955	2.1%	faild
1/1	956	2.1%	faild
1/1	957	2.1%	faild
1/1	958	2.1%	faild
1/1	959	2.1%	faild
1/1	960	2.1%	faild
1/1	961	2.1%	faild
1/1	962	2.2%	faild
1/1	963	2.2%	faild
1/1	964	2.2%	faild
1/1	965	2.2%	faild
1/1	966	2.2%	faild
1/1	967	2.2%	faild
1/1	968	2.2%	faild
1/1	969	2.2%	faild
1/1	970	2.2%	faild
1/1	971	2.2%	faild
1/1	972	2.2%	faild
1/1	973	2.2%	faild
1/1	974	2.2%	faild
1/1	975	2.2%	faild
1/1	976	2.2%	faild
1/1	977	2.2%	faild
1/1	978	2.2%	faild
1/1	979	2.2%	faild
1/1	980	2.2%	faild
